,NE,NW,Y+H,EM,WM,E,L,SE,SW
Commute,2.60E+05,6.41E+05,4.83E+05,4.12E+05,4.89E+05,5.14E+05,7.68E+05,7.58E+05,4.45E+05
Education,1.94E+05,4.74E+05,3.73E+05,3.31E+05,3.69E+05,3.52E+05,6.23E+05,5.99E+05,3.61E+05
Business,48854,1.23E+05,1.06E+05,82937,1.08E+05,1.16E+05,1.44E+05,1.71E+05,1.08E+05
Shopping,3.30E+05,8.03E+05,6.03E+05,5.54E+05,5.99E+05,6.73E+05,6.93E+05,9.11E+05,6.14E+05
Other escort + personal,3.13E+05,8.13E+05,5.88E+05,5.47E+05,5.87E+05,6.45E+05,7.10E+05,9.56E+05,6.06E+05
Entertainment,3.80E+05,8.56E+05,6.89E+05,6.27E+05,7.25E+05,7.02E+05,8.65E+05,1.06E+06,6.81E+05
Other,1.63E+05,2.98E+05,3.01E+05,2.47E+05,2.32E+05,2.79E+05,2.64E+05,4.49E+05,3.18E+05
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
