,NE,NW,Y+H,EM,WM,E,L,SE,SW,
Trips / person,359.7751417,392.3824028,409.8955633,431.8740311,413.3327199,430.2911057,194.1453262,428.5174632,234.9527276,
Passengers,0.59561629,0.54104799,0.54641866,0.57985952,0.52682902,0.50917857,0.64862158,0.50950843,0.53084848,
Population,2596886,7052177,5283733,4533222,5601847,5846965,8173941,8634750,5288935,
Trips / year,934295028.5,2767150156,2165778714,1957780859,2315426657,2515897035,1586932442,3700141166,1242649704,19186051762
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
