,NE,NW,Y+H,EM,WM,E,L,SE,SW,,,,,,,,,
Commute,,,,,,,,,,,,,,,,,,
Education,,,,,,,,,,,,,,,,,,
Business,,,,,,,,,,,,,,,,,,
Shopping,,,,,,,,,,,,,,,,,,
Other escort + personal,,,,,,,,,,,,,,,,,,
Entertainment,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,
Commute,7.841,7.8965,7.8319,9.0485,8.7064,10.87,7.8552,10.234,8.1151,,,,,,,,,
Education,3.3373,3.0702,2.7431,3.444,2.3166,3.8459,3.6145,3.6898,3.862,,,,,,,,,
Business,27.074,19.516,19.746,25.65,19.969,24.715,14.04,18.505,23.477,,,,,,,,,
Shopping,4.2866,4.035,4.4043,4.5118,4.2488,4.8816,2.8159,4.381,4.6597,,,,,,,,,
Other escort,5.2418,4.6732,5.2113,5.2274,5.1104,6.6281,4.2067,5.3337,5.9977,,,,,,,,,
Visting friends,8.022,8.7055,8.6917,9.5042,7.93,10.295,9.6597,10.673,10.072,,,,,,,,,
Other,7.8707,7.6744,8.1494,8.1827,9.6142,9.5948,7.1443,7.3875,8.29,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Commuting,,Business,Shopping,,,,Education,Escort education,,Other escort,Personal business,Visit friends at private home,Visit friends elsewhere,Sport / entertainment,Holiday / day trip,Other including just walk,All purposes
Region of residence:,,,,,,,,,,,,,,,,,,
North East,7.8,2.6,27.1,4.3,5.2,7.8,,3.3,1.6,,5.2,5.1,8.6,6.7,6.9,21.0,1.2,6.8
North West,7.9,2.8,19.5,4.0,4.4,8.0,,3.1,2.6,,4.7,4.2,10.0,6.0,6.1,22.6,1.2,6.5
Yorkshire and The Humber,7.8,2.4,19.7,4.4,5.3,8.1,,2.7,2.0,,5.2,5.3,10.1,5.7,6.8,22.4,1.0,6.8
East Midlands,9.0,2.9,25.7,4.5,5.3,9.1,,3.4,2.3,,5.2,5.4,10.7,6.9,8.0,21.1,1.0,7.4
West Midlands,8.7,3.1,20.0,4.2,5.1,8.0,,3.7,2.3,,5.1,5.1,8.6,6.5,7.9,29.0,1.0,7.2
East of England,10.9,3.2,24.7,4.9,6.5,9.7,,3.8,2.5,,6.6,6.4,11.6,7.5,8.3,25.6,1.2,8.3
London,7.9,3.0,14.0,2.8,4.0,7.5,,3.6,2.1,,4.2,3.8,12.0,4.7,4.7,22.3,1.0,6.0
South East,10.2,3.0,18.5,4.4,5.6,9.6,,3.7,2.3,,5.3,5.9,12.6,6.7,7.9,16.2,1.1,7.4
South West,8.1,3.1,23.5,4.7,5.7,9.4,,3.9,2.2,,6.0,5.5,11.1,7.8,7.9,21.4,1.2,7.6
